acdnt_no,serial_no,acdnt_year,acdnt_dd_dc,dfk_dc,tmzon_div_1_dc,occrrnc_time_dc,x_crdnt,y_crdnt,legaldong_code,legaldong_name,acdnt_hdc,acdnt_dc,road_stle_dc,acdnt_gae_dc,acdnt_age_2_dc,dmge_vhcle_asort_dc,injury_dgree_2_dc,wrngdo_vhcle_asort_dc,lrg_violt_1_dc,wether_sttus_dc,rdse_sttus_dc,dprs_cnt,sep_cnt,slp_cnt,lat,lon
2024010500100251,2024001956,2024,2024년  1월,금요일,주간,14시,948587.0,1944063.0,1159010900,서울특별시 동작구,차대사람,차대사람 - 횡단중,교차로 - 교차로횡단보도내,경상사고,65세 이상,보행자,경상,승용,보행자보호의무위반,맑음, 건조,0,0,1,37.49439205213046,126.91838577342502
2024010500100335,2024002036,2024,2024년  1월,금요일,주간,17시,948972.0,1957880.0,1138010300,서울특별시 은평구,차대사람,차대사람 - 횡단중,단일로 - 기타,경상사고,65세 이상,보행자,경상,승용,안전운전불이행,맑음, 건조,0,0,1,37.618947700082074,126.92177942083757
2024010500100423,2024002122,2024,2024년  1월,금요일,야간,19시,968539.0,1943757.0,1171011300,서울특별시 송파구,차대사람,차대사람 - 차도통행중,단일로 - 기타,중상사고,65세 이상,보행자,중상,승용,안전운전불이행,맑음, 건조,0,1,0,37.492529512870696,127.14410242102889
2024010600100065,2024002316,2024,2024년  1월,토요일,주간,07시,952573.0,1952410.0,1141010700,서울특별시 서대문구,차대사람,차대사람 - 차도통행중,단일로 - 기타,중상사고,65세 이상,보행자,중상,화물,안전운전불이행,맑음, 건조,0,1,0,37.56983879311764,126.96293666476366
2024010600100238,2024002481,2024,2024년  1월,토요일,주간,14시,946862.0,1942141.0,1154510200,서울특별시 금천구,차대사람,차대사람 - 기타,교차로 - 교차로횡단보도내,경상사고,65세 이상,보행자,경상,특수,보행자보호의무위반,맑음, 건조,0,0,1,37.47697101684595,126.89901131154805
2024010600100241,2024002484,2024,2024년  1월,토요일,주간,14시,943784.0,1947945.0,1147010100,서울특별시 양천구,차대사람,차대사람 - 횡단중,교차로 - 교차로횡단보도내,경상사고,65세 이상,보행자,경상,승용,보행자보호의무위반,맑음, 건조,0,0,1,37.52910089051149,126.8637573916636
2024010700100081,2024002794,2024,2024년  1월,일요일,주간,10시,945636.0,1945967.0,1153010100,서울특별시 구로구,차대사람,차대사람 - 횡단중,교차로 - 교차로횡단보도내,경상사고,65세 이상,보행자,경상,승용,보행자보호의무위반,맑음, 젖음/습기,0,0,1,37.51138400869714,126.88486324942465
2024010700100082,2024002795,2024,2024년  1월,일요일,주간,10시,961286.0,1958280.0,1135010200,서울특별시 노원구,차대사람,차대사람 - 기타,단일로 - 기타,경상사고,65세 이상,보행자,경상,승용,보행자보호의무위반,맑음, 건조,0,0,1,37.623154214125314,127.06128920691052
2024010700100121,2024002831,2024,2024년  1월,일요일,주간,12시,947388.0,1944000.0,1156013300,서울특별시 영등포구,차대사람,차대사람 - 차도통행중,교차로 - 교차로안,중상사고,65세 이상,보행자,중상,승용,안전운전불이행,맑음, 건조,0,1,0,37.49375666715138,126.90482714559757
2024010700100142,2024002851,2024,2024년  1월,일요일,주간,13시,958606.0,1953216.0,1123010200,서울특별시 동대문구,차대사람,차대사람 - 기타,기타 - 기타,중상사고,65세 이상,보행자,중상,승용,신호위반,흐림, 건조,0,1,0,37.577394495582496,127.03120657027777
2024010700100220,2024002926,2024,2024년  1월,일요일,주간,15시,959048.0,1956527.0,1129013600,서울특별시 성북구,차대사람,차대사람 - 차도통행중,단일로 - 기타,중상사고,65세 이상,보행자,중상,승용,안전운전불이행,맑음, 건조,0,1,0,37.60725706987597,127.03602690026045
2024010700100373,2024003069,2024,2024년  1월,일요일,야간,23시,959718.0,1963130.0,1132010600,서울특별시 도봉구,차대사람,차대사람 - 횡단중,교차로 - 교차로횡단보도내,중상사고,65세 이상,보행자,중상,화물,기타,맑음, 건조,0,1,0,37.666800630218965,127.04325339243472
2024010800100122,2024003195,2024,2024년  1월,월요일,주간,09시,949318.0,1943033.0,1162010200,서울특별시 관악구,차대사람,차대사람 - 차도통행중,교차로 - 교차로안,중상사고,65세 이상,보행자,중상,화물,안전운전불이행,맑음, 건조,0,1,0,37.48514884734822,126.92672585003639
2024010800100248,2024003315,2024,2024년  1월,월요일,주간,13시,957076.0,1959921.0,1130510300,서울특별시 강북구,차대차,차대차 - 기타,단일로 - 기타,중상사고,65세 이상,승용,경상,승용,안전운전불이행,맑음, 건조,0,1,1,37.63775776305584,127.01348616956066
2024010800100250,2024003317,2024,2024년  1월,월요일,주간,13시,964602.0,1954586.0,1126010100,서울특별시 중랑구,차대사람,차대사람 - 길가장자리구역통행중,단일로 - 기타,부상신고사고,65세 이상,보행자,부상신고,원동기,안전운전불이행,맑음, 건조,0,0,0,37.589992874554795,127.09904431881226
2024010800100471,2024003531,2024,2024년  1월,월요일,야간,19시,957309.0,1947248.0,1168011000,서울특별시 강남구,차대사람,차대사람 - 보도통행중,단일로 - 기타,경상사고,65세 이상,보행자,경상,승합,보행자보호의무위반,맑음, 건조,0,0,1,37.52354406716132,127.0168656606302
2024010900100017,2024003619,2024,2024년  1월,화요일,야간,04시,944202.0,1949916.0,1147010200,서울특별시 양천구,차대사람,차대사람 - 횡단중,교차로 - 교차로안,경상사고,65세 이상,보행자,경상,승용,보행자보호의무위반,맑음, 건조,0,0,1,37.546891022004594,126.86833813663601
2024010900100158,2024003751,2024,2024년  1월,화요일,주간,12시,945500.0,1943226.0,1153010200,서울특별시 구로구,차대사람,차대사람 - 기타,단일로 - 기타,중상사고,65세 이상,보행자,중상,승용,안전운전불이행,맑음, 건조,0,1,0,37.48667095462614,126.88352760889724
2024010900100174,2024003766,2024,2024년  1월,화요일,주간,13시,957949.0,1946222.0,1168010800,서울특별시 강남구,차대사람,차대사람 - 기타,단일로 - 기타,경상사고,65세 이상,보행자,경상,승용,안전운전불이행,눈, 젖음/습기,0,0,1,37.51432580039953,127.02416704199854
2024010900100270,2024003853,2024,2024년  1월,화요일,주간,17시,957481.0,1960967.0,1130510300,서울특별시 강북구,차대사람,차대사람 - 기타,교차로 - 교차로안,경상사고,65세 이상,보행자,경상,화물,안전운전불이행,맑음, 건조,0,0,1,37.647204335180085,127.01801550519045
2024010900100373,2024003954,2024,2024년  1월,화요일,야간,20시,968430.0,1948369.0,1174010600,서울특별시 강동구,차대사람,차대사람 - 횡단중,단일로 - 기타,경상사고,65세 이상,보행자,경상,승합,안전운전불이행,맑음, 건조,0,0,1,37.534095918796346,127.14267126158182
2024011000100028,2024004046,2024,2024년  1월,수요일,주간,06시,945510.0,1943840.0,1153010200,서울특별시 구로구,차대사람,차대사람 - 기타,단일로 - 기타,중상사고,65세 이상,보행자,중상,승합,안전운전불이행,맑음, 건조,0,1,0,37.49220562495534,126.88359524285882
