"동별(1)",동별(2),동별(3),2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007
"동별(1)",동별(2),동별(3),금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관
"동별(1)",동별(2),동별(3),소계,한국은행,시중은행,시중은행,시중은행,시중은행,시중은행,시중은행,시중은행,지방은행,특수은행,특수은행,특수은행,특수은행,기타,기타
"동별(1)",동별(2),동별(3),소계,소계,우리은행,SC제일은행,KB국민은행,한국외한은행,신한은행,한국씨티은행,KEB하나은행,소계,IBK기업은행,NH농협은행,수협은행,KDB산업은행,한국수출입은행,외국은행
"합계",소계,소계,2613,2,434,182,477,148,452,99,325,16,197,177,53,11,1,38
"합계",종로구,소계,152,-,23,11,29,11,22,4,14,1,8,13,1,1,-,14
"합계",종로구,청운동,2,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-
"합계",종로구,효자동,3,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-
"합계",종로구,사직동,20,-,1,-,3,3,3,2,2,-,-,3,-,-,-,3
"합계",종로구,삼청동,2,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",종로구,부암동,2,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
"합계",종로구,평창동,5,-,1,-,2,1,-,-,1,-,-,-,-,-,-,-
"합계",종로구,무악동,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
"합계",종로구,교남동,2,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-
"합계",종로구,가회동,5,-,1,-,-,1,2,-,-,-,-,-,1,-,-,-
"합계",종로구,종로1.2.3.4가동,68,-,8,6,16,4,7,1,4,1,3,6,-,1,-,11
"합계",종로구,종로5.6가동,15,-,3,2,1,1,3,1,3,-,1,-,-,-,-,-
"합계",종로구,이화동,6,-,1,-,1,-,2,-,-,-,1,1,-,-,-,-
"합계",종로구,혜화동,3,-,-,-,1,-,1,-,1,-,-,-,-,-,-,-
"합계",종로구,명륜3가동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",종로구,창신1동,7,-,1,1,2,-,2,-,-,-,1,-,-,-,-,-
"합계",종로구,창신2동,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
"합계",종로구,숭인2동,8,-,1,-,-,1,1,-,2,-,1,2,-,-,-,-
"합계",중구,소계,243,1,38,14,38,11,47,8,25,4,16,13,5,-,-,23
"합계",중구,소공동,48,1,5,2,9,2,13,1,5,2,1,2,-,-,-,5
"합계",중구,회현동,34,-,8,3,4,2,5,1,3,-,2,3,-,-,-,3
"합계",중구,명동,81,-,9,4,8,5,15,5,9,2,6,2,2,-,-,14
"합계",중구,필동,12,-,3,2,1,-,4,-,1,-,-,1,-,-,-,-
"합계",중구,장충동,3,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-
"합계",중구,광희동,19,-,3,2,4,1,1,-,2,-,3,2,1,-,-,-
"합계",중구,을지로동,21,-,3,1,6,-,4,1,2,-,1,2,-,-,-,1
"합계",중구,신당1동,8,-,1,-,4,-,1,-,-,-,-,-,2,-,-,-
"합계",중구,신당2동,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
