"동별(1)",동별(2),동별(3),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"동별(1)",동별(2),동별(3),금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관
"동별(1)",동별(2),동별(3),소계,한국은행,시중은행,시중은행,시중은행,시중은행,시중은행,시중은행,지방은행,특수은행,특수은행,특수은행,특수은행,기타,기타
"동별(1)",동별(2),동별(3),소계,소계,우리은행,SC제일은행,KB국민은행,신한은행,한국씨티은행,KEB하나은행,소계,IBK기업은행,NH농협은행,수협은행,KDB산업은행,한국수출입은행,외국은행
"합계",소계,소계,1774,2,310,83,323,301,16,239,38,187,161,57,18,2,37
"합계",종로구,소계,104,-,18,5,16,15,5,13,-,7,13,1,1,-,10
"합계",종로구,청운효자동,3,-,1,-,1,1,-,-,-,-,-,-,-,-,-
"합계",종로구,사직동,23,-,2,-,2,3,5,4,-,1,5,-,-,-,1
"합계",종로구,삼청동,3,-,1,-,-,-,-,1,-,-,1,-,-,-,-
"합계",종로구,부암동,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-
"합계",종로구,평창동,2,-,1,-,-,-,-,1,-,-,-,-,-,-,-
"합계",종로구,무악동,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-
"합계",종로구,교남동,2,-,1,-,1,-,-,-,-,-,-,-,-,-,-
"합계",종로구,가회동,4,-,1,-,-,2,-,1,-,-,-,-,-,-,-
"합계",종로구,종로1.2.3.4가동,42,-,5,4,8,4,-,3,-,3,5,-,1,-,9
"합계",종로구,종로5.6가동,7,-,1,-,-,2,-,2,-,1,-,1,-,-,-
"합계",종로구,이화동,4,-,-,-,1,1,-,-,-,1,1,-,-,-,-
"합계",종로구,혜화동,5,-,2,-,1,1,-,1,-,-,-,-,-,-,-
"합계",종로구,창신1동,4,-,1,1,1,1,-,-,-,-,-,-,-,-,-
"합계",종로구,창신2동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-
"합계",종로구,창신3동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",종로구,숭인1동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",종로구,숭인2동,2,-,1,-,-,-,-,-,-,-,1,-,-,-,-
"합계",중구,소계,163,1,24,5,20,35,-,14,7,16,14,5,1,-,21
"합계",중구,소공동,32,1,2,2,2,13,-,2,1,1,3,-,1,-,4
"합계",중구,회현동,18,-,5,1,2,1,-,1,-,2,3,-,-,-,3
"합계",중구,명동,58,-,5,1,7,10,-,5,5,6,3,2,-,-,14
"합계",중구,필동,8,-,1,-,1,4,-,1,-,-,1,-,-,-,-
"합계",중구,장충동,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-
"합계",중구,광희동,15,-,3,-,3,1,-,2,1,3,1,1,-,-,-
"합계",중구,을지로동,10,-,3,1,1,2,-,1,-,1,1,-,-,-,-
"합계",중구,신당동,5,-,1,-,1,1,-,-,-,-,-,2,-,-,-
"합계",중구,다산동,4,-,1,-,2,-,-,1,-,-,-,-,-,-,-
"합계",중구,약수동,2,-,1,-,-,-,-,-,-,1,-,-,-,-,-
"합계",중구,청구동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",중구,신당5동,3,-,-,-,-,1,-,1,-,-,1,-,-,-,-
"합계",중구,동화동,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-
"합계",중구,황학동,4,-,-,-,1,-,-,-,-,2,1,-,-,-,-
"합계",중구,중림동,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-
"합계",용산구,소계,63,-,11,3,11,11,1,8,-,8,9,1,-,-,-
"합계",용산구,후암동,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-
"합계",용산구,용산2가동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",용산구,남영동,7,-,1,-,2,-,-,1,-,1,2,-,-,-,-
"합계",용산구,청파동,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-
"합계",용산구,원효로1동,2,-,-,-,1,-,-,-,-,-,1,-,-,-,-
"합계",용산구,원효로2동,2,-,1,-,-,-,-,-,-,1,-,-,-,-,-
"합계",용산구,효창동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",용산구,용문동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",용산구,한강로동,19,-,5,1,2,3,1,2,-,1,3,1,-,-,-
"합계",용산구,이촌1동,7,-,1,1,2,1,-,1,-,1,-,-,-,-,-
"합계",용산구,이촌2동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",용산구,이태원1동,7,-,1,-,1,3,-,1,-,1,-,-,-,-,-
"합계",용산구,이태원2동,4,-,-,-,1,1,-,-,-,1,1,-,-,-,-
"합계",용산구,한남동,11,-,2,-,2,2,-,2,-,2,1,-,-,-,-
"합계",용산구,서빙고동,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",용산구,보광동,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-
"합계",성동구,소계,49,-,6,4,11,7,-,6,1,7,5,1,1,-,-
