구명,vulnerability_score,시설수,65세이상인구,welfare_index,green_index,고령화율,복지커버_노인10분,공원커버_노인10분,복지_박탈노인,공원_박탈노인,복지_속도격차,공원_속도격차
송파구,1.0,6,119251,0.503,24.36,18.35,7.457315042120648,9.359876584779233,110358.0,108089.0,18.92,25.11
노원구,0.8984,7,104776,0.668,114.76,21.43,7.05673784464936,1.0372393658680317,97382.0,103689.0,15.51,2.9
강서구,0.887,16,113320,1.412,23.82,20.37,13.631249006063104,10.58420575636906,97873.0,101326.0,25.24,22.3
강동구,0.747,5,98148,0.509,9.61,19.47,8.889074998007693,12.125225377495395,89424.0,86247.0,18.68,25.36
관악구,0.7405,7,92939,0.753,153.75,18.69,9.016799685344797,3.348971011891123,84559.0,89826.0,20.97,9.25
